case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1765.0,3277,0.1121641805,0.09241019141,0.002926621617,0.001304006324,0.04385832272,-1.865136698,1709.636131
1765.0,3278,0.148407569,0.0924194992,0.001317152811,1.521619392e-05,0.07576567491,-3.963705301,1686.90381
1765.0,3279,0.1488480499,0.09247896512,0.0009706684814,8.295598553e-06,0.07627967662,-4.00275767,1686.376737
1765.0,3280,0.1492589828,0.092534442,0.0006352445212,3.956151213e-06,0.07676000227,-4.039109712,1685.885312
1765.0,3281,0.1496423498,0.09258619741,0.0003115303623,1.068867418e-06,0.07720870239,-4.077615027,1685.42716
1765.0,3282,0.15,0.09263448101,0.0,0.0,0.07762769508,-4.097819006,1685.0
1765.0,3283,0.04091404404,0.09277562183,-0.001920538071,-0.002646083205,-0.002867611691,-0.3729150212,1715.521914
1765.0,3284,0.0,0.09279097903,0.0,0.0,-0.02913636742,-0.3740068041,1720.109768
1765.0,3285,0.1150359138,0.09280291926,0.003718098318,0.001337016079,0.0461250033,-1.969258954,1709.483604
1765.0,3286,0.0003576502415,0.09283781572,5.201783507e-05,-8.30535373e-07,-0.02892082998,-0.3736999759,1720.062168
1765.0,3287,0.000741017226,0.09288802019,0.0001058383373,-2.756804449e-06,-0.02868957761,-0.3747242523,1720.010569
1765.0,3288,0.001151950109,0.09294183459,0.0001613626445,-6.089163695e-06,-0.02844141993,-0.3775165384,1719.954626
1765.0,3289,0.001592431009,0.09299951851,0.000218417924,-1.125381464e-05,-0.02817510466,-0.3803362225,1719.894015
1765.0,3290,0.08036475362,0.0930129039,-0.004149371969,-0.001488810255,0.02292404161,-0.6999990138,1710.233285
1765.0,3291,0.002064584567,0.09306135017,0.000276781142,-1.851160058e-05,-0.02788928475,-0.3832299832,1719.828406
1765.0,3292,0.002570688198,0.09312762782,0.000336171943,-2.82243069e-05,-0.02758251093,-0.3861929242,1719.757461
1765.0,3293,0.1177150076,0.09316930242,0.004423954117,0.001336019071,0.04830855568,-2.068315922,1709.207709
1765.0,3294,0.003113183073,0.09319867115,0.0003962436452,-4.078815046e-05,-0.02725322363,-0.389219318,1719.680838
1765.0,3295,0.04421360745,0.09322052616,-0.002345720752,-0.002827611629,-0.0007449201196,-0.362228289,1715.253907
1765.0,3296,0.003694685893,0.09327482283,0.0004565737187,-5.664930307e-05,-0.02689974421,-0.3922896989,1719.598203
1765.0,3297,0.004318001515,0.09335645017,0.000516653455,-7.630304769e-05,-0.02652026535,-0.3953898495,1719.509227
1765.0,3298,0.004986136477,0.09344394691,0.0005758766168,-0.0001002987605,-0.02611284065,-0.3985019892,1719.413605
1765.0,3299,0.1202143844,0.09351110813,0.005036040968,0.001307176619,0.05041239816,-2.163197798,1708.791465
1765.0,3300,0.005702313501,0.09353773508,0.0006335271861,-0.0001292417284,-0.0256753731,-0.4016053784,1719.31106
1765.0,3301,0.006469987038,0.09363826705,0.0006887662142,-0.0001637948111,-0.02520560256,-0.4046757877,1719.201354
1765.0,3302,0.08536963278,0.09369724617,-0.003613101206,-0.001113603184,0.02638029166,-0.8117721678,1709.707405
1765.0,3303,0.04775042506,0.09369742121,-0.002794535846,-0.002985425214,0.001557295535,-0.3515139705,1714.929537
1765.0,3304,0.007292859931,0.09374602776,0.0007406177899,-0.0002046788579,-0.02470109182,-0.4076852411,1719.084309
1765.0,3305,0.1225460998,0.09382998509,0.00555007319,0.00125642504,0.05243871189,-2.254809327,1708.227355
1765.0,3306,0.008174901275,0.09386153696,0.0007879543281,-0.0002526716161,-0.02415921121,-0.4106014129,1718.959816
1765.0,3307,0.009120365561,0.09398535183,0.0008294814114,-0.0003086043829,-0.02357712143,-0.4133863216,1718.827859
1765.0,3308,0.0101338132,0.09411806956,0.0008637261593,-0.0003733561992,-0.02295175438,-0.4159954528,1718.688536
1765.0,3309,0.1247214008,0.09412747137,0.005965016239,0.001189242619,0.05438876214,-2.343987163,1707.517394
1765.0,3310,0.05154155658,0.09420860726,-0.003253456856,-0.003108380018,0.004055993389,-0.3422146513,1714.529305
1765.0,3311,0.01122013251,0.09426033033,0.0008890255253,-0.0004478447967,-0.02227979151,-0.4183785286,1718.542077
1765.0,3312,0.0900387783,0.0943356819,-0.002907502039,-0.0007438858475,0.02965611714,-0.9324369021,1709.349201
1765.0,3313,0.1267507799,0.0944050019,0.006282481101,0.001110514635,0.05626319794,-2.431487997,1706.672192
1765.0,3314,0.01238456332,0.09441282033,0.00090351033,-0.000533013479,-0.02155763939,-0.420479259,1718.388874
1765.0,3315,0.0136327222,0.09457627507,0.0009050925564,-0.0006298126505,-0.02078140185,-0.4222323579,1718.229504
1765.0,3316,0.1286440257,0.09466391533,0.006506165746,0.001024330937,0.05806231367,-2.518002514,1705.709198
1765.0,3317,0.01497062961,0.09475148298,0.0008914561957,-0.0007391770675,-0.01994684817,-0.4235618857,1718.064754
1765.0,3318,0.05560528838,0.09475655001,-0.003702193934,-0.003183609287,0.00676964132,-0.3366120809,1714.033572
1765.0,3319,0.1304102701,0.09490546052,0.006641460911,0.0009344142825,0.05978626458,-2.60339604,1704.650465
1765.0,3320,0.09439471162,0.09493129054,-0.002076599706,-0.0003981264119,0.03276611238,-1.057614589,1709.140414
1765.0,3321,0.01640473889,0.09493928917,0.0008600530407,-0.0008619848629,-0.01904937653,-0.4243608241,1717.895634
1765.0,3322,0.1320580326,0.09513080255,0.0066951086,0.0008429648256,0.06143523441,-2.68799807,1703.520286
1765.0,3323,0.01794196741,0.09514059951,0.0008081054616,-0.0009990128325,-0.01808397213,-0.4245186502,1717.723389
1765.0,3324,0.1335952611,0.09534102835,0.006674240477,0.000752831651,0.06300955724,-2.771387457,1702.343099
1765.0,3325,0.0599612217,0.09534389244,-0.00411194397,-0.003196659704,0.00971828059,-0.3380717898,1713.426531
1765.0,3326,0.01958972992,0.09535638502,0.000732618817,-0.001150889837,-0.01704515951,-0.4238934703,1717.54948
1765.0,3327,0.09845844342,0.09548694501,-0.001163845984,-8.876790728e-05,0.03572524852,-1.183747588,1709.04631
1765.0,3328,0.1350293704,0.09553715194,0.006586240039,0.0006663196919,0.06450979783,-2.852707325,1701.141838
1765.0,3329,0.02135597434,0.09558768653,0.0006304134548,-0.0013179953,-0.01592694126,-0.4222942888,1717.375529
1765.0,3330,0.1363672778,0.09572011931,0.006438867467,0.0005842229539,0.06593679869,-2.932943252,1699.936799
1765.0,3331,0.02324922009,0.0958356197,0.0004982162637,-0.001500461609,-0.01472273902,-0.4195257255,1717.203204
1765.0,3332,0.1376154367,0.095890813,0.006239816633,0.0005075105432,0.06729169827,-3.012219322,1698.745058
1765.0,3333,0.06463036722,0.09597346756,-0.004442571682,-0.003133329854,0.01292365424,-0.351958663,1712.702149
1765.0,3334,0.1022495749,0.09600532547,-0.0002097761482,0.0001767686134,0.03854786673,-1.30803083,1709.023022
1765.0,3335,0.1387798675,0.09605005634,0.005996534162,0.0004366249277,0.06857592627,-3.089700624,1697.580313
1765.0,3336,0.02527859915,0.09610138045,0.000332670958,-0.001697984728,-0.01342532036,-0.4153837574,1717.034012
1765.0,3337,0.1398661868,0.09619861743,0.005716070167,0.0003719247427,0.06979118469,-3.165038685,1696.453011
1765.0,3338,0.1408796344,0.09633721286,0.005405018815,0.0003135248831,0.07093941859,-3.238042231,1695.370663
1765.0,3339,0.02745390016,0.09638625065,0.0001303776731,-0.00190967594,-0.01202670657,-0.4096453847,1716.868958
1765.0,3340,0.1418250987,0.09646651113,0.005069466819,0.0002613565003,0.07202278034,-3.308543769,1694.338253
1765.0,3341,0.1057863926,0.09648893231,0.0007496785784,0.0003953509802,0.0412469539,-1.4286236,1709.02392
1765.0,3342,0.1427071401,0.09658713591,0.0047149642,0.0002152270195,0.07304359096,-3.37638043,1693.358688
1765.0,3343,0.06963524638,0.09664831211,-0.004641833608,-0.002978610998,0.01640956349,-0.3826966692,1711.872007
1765.0,3344,0.0297856156,0.09669160436,-0.0001118703434,-0.002134058324,-0.01051808076,-0.4020277798,1716.708035
1765.0,3345,0.143530013,0.09669966902,0.004346514895,0.0001748589646,0.07400430107,-3.441449517,1692.433218
1765.0,3346,0.1442976865,0.09680465327,0.00396858202,0.0001399025223,0.07490745323,-3.503707602,1691.561818
1765.0,3347,0.1450138635,0.09690259505,0.003585105674,0.0001099665948,0.07575564697,-3.563106809,1690.743525
1765.0,3348,0.109085956,0.0969400982,0.001684006504,0.0005671351824,0.04383369177,-1.544546645,1709.004044
1765.0,3349,0.1456819985,0.09699396677,0.003199529065,8.464680466e-05,0.0765515073,-3.61963821,1689.976702
1765.0,3350,0.0322849924,0.09701891445,-0.0003968290464,-0.002368779044,-0.008889678992,-0.3921984258,1716.549535
1765.0,3351,0.1463053141,0.09707920915,0.002814829149,6.352939209e-05,0.07729765696,-3.673339486,1689.259259
1765.0,3352,0.1468868169,0.09715873337,0.002433550622,4.620220329e-05,0.07799669272,-3.724255591,1688.588827
1765.0,3353,0.1474293118,0.097232923,0.002057841998,3.22685392e-05,0.07865116547,-3.772449041,1687.96288
1765.0,3354,0.1479354154,0.0973021359,0.001689492362,2.134364573e-05,0.07926356406,-3.818009098,1687.378837
1765.0,3355,0.1121641805,0.0973609993,0.002568394352,0.0006946407179,0.04631726776,-1.655513754,1708.923159
1765.0,3356,0.148407569,0.09736670591,0.001329967354,1.308526472e-05,0.07983630245,-3.860908771,1686.834132
1765.0,3357,0.03496408621,0.09736975968,-0.0007264325484,-0.002610429559,-0.007130671956,-0.3797789783,1716.389189
1765.0,3358,0.075,0.09737168117,-0.004646008412,-0.002722618601,0.02020226798,-0.4365600648,1710.972769
1765.0,3359,0.1488480499,0.09742694448,0.0009804438853,7.14578437e-06,0.08037170986,-3.901208499,1686.326256
1765.0,3360,0.1492589828,0.09748314218,0.0006418424022,3.426968084e-06,0.0808720237,-3.938803592,1685.852795
1765.0,3361,0.1496423498,0.09753557006,0.0003148581918,8.851339305e-07,0.08133938466,-3.977976529,1685.411448
1765.0,3362,0.15,0.09758448101,0.0,0.0,0.08177579508,-3.998226676,1685.0
1765.0,3363,0.03783581952,0.09774583234,-0.001101348777,-0.002854332607,-0.005229037952,-0.3645198387,1716.219223
1765.0,3364,0.1150359138,0.09775366583,0.003383609258,0.0007819451071,0.04870489861,-1.761742103,1708.747763
1765.0,3365,0.08036475362,0.09809505023,-0.004403384581,-0.002387336985,0.02405350807,-0.5154338861,1710.12839
1765.0,3366,0.1177150076,0.09811999178,0.00411562951,0.0008340246198,0.05100199381,-1.863772244,1708.45262
1765.0,3367,0.04091404404,0.0981489464,-0.0015203885,-0.003094463631,-0.003171431713,-0.3463541333,1716.027489
1765.0,3368,0.1202143844,0.09846174413,0.004755126424,0.0008562303148,0.05321241432,-1.962309898,1708.021838
1765.0,3369,0.04421360745,0.09858104627,-0.001979685698,-0.003323087693,-0.0009430533284,-0.3254129223,1715.796938
1765.0,3370,0.0,0.09863742182,0.0,0.0,-0.03097215045,-0.4325113893,1721.376266
1765.0,3371,0.0003576502415,0.09868212109,6.771320375e-05,-9.330976823e-07,-0.0307423443,-0.4315768418,1721.308679
1765.0,3372,0.000741017226,0.09873003445,0.0001380176766,-3.101259352e-06,-0.03049581833,-0.4315670473,1721.235707
1765.0,3373,0.08536963278,0.09876989478,-0.003935604661,-0.002016254455,0.02770322783,-0.6107665751,1709.448977
1765.0,3374,0.1225460998,0.0987805713,0.005296865024,0.0008539065856,0.05533877506,-2.058092628,1707.449294
1765.0,3375,0.001151950109,0.098781393,0.000210827242,-6.834809509e-06,-0.03023131715,-0.4335660193,1721.156932
1765.0,3376,0.001592431009,0.09883644448,0.0002859757293,-1.262880491e-05,-0.02994751712,-0.4355240181,1721.071962
1765.0,3377,0.002064584567,0.09889545441,0.0003632410575,-2.076786072e-05,-0.02964299574,-0.4375003812,1720.980399
1765.0,3378,0.002570688198,0.09895870745,0.0004423369018,-3.165609746e-05,-0.02931622416,-0.4394869192,1720.881847
1765.0,3379,0.003113183073,0.09902650867,0.0005229026255,-4.573384599e-05,-0.02896555899,-0.441488662,1720.775917
1765.0,3380,0.04775042506,0.09904421616,-0.002471602332,-0.003530524593,0.001472477446,-0.3022533592,1715.50576
1765.0,3381,0.1247214008,0.09907801114,0.005739072685,0.0008321087055,0.057382756,-2.151814573,1706.738179
1765.0,3382,0.003694685893,0.09909918512,0.0006044925969,-6.349859516e-05,-0.02858923346,-0.4434832126,1720.66224
1765.0,3383,0.004318001515,0.09917708735,0.0006865642037,-8.550152964e-05,-0.02818534787,-0.4454563324,1720.540473
