case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1780.0,1,0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.251859
1780.0,2,0.0003576502415,0.0,2.226772397e-07,-7.017912472e-07,-8.921677079e-05,-0.01329478099,1700.60344
1780.0,3,0.000741017226,0.0,4.341498197e-07,-1.232811931e-06,-8.827597877e-05,-0.03914679974,1701.092977
1780.0,4,0.001151950109,0.0,6.293616772e-07,-2.846112343e-06,-8.727088284e-05,-0.06472626399,1701.562995
1780.0,5,0.001592431009,0.0,8.073982472e-07,-5.000981133e-06,-8.619708397e-05,-0.09199303391,1702.023785
1780.0,6,0.002064584567,0.0,9.676920253e-07,-7.907108232e-06,-8.505008935e-05,-0.1197882029,1702.481484
1780.0,7,0.002570688198,0.0,1.107447531e-06,-1.15271877e-05,-8.382521054e-05,-0.1483996373,1702.93994
1780.0,8,0.003113183073,0.0,1.224210314e-06,-1.589682804e-05,-8.251753293e-05,-0.1776438954,1703.401691
1780.0,9,0.003694685893,0.0,1.314915313e-06,-2.099958851e-05,-8.112190412e-05,-0.2075112381,1703.868474
1780.0,10,0.004318001515,0.0,1.376207644e-06,-2.680442178e-05,-7.9632927e-05,-0.2379238655,1704.341502
1780.0,11,0.004986136477,0.0,1.404396115e-06,-3.324241356e-05,-7.80449566e-05,-0.2688080542,1704.821609
1780.0,12,0.005702313501,0.0,1.395490543e-06,-4.020358207e-05,-7.635210242e-05,-0.3000713153,1705.309332
1780.0,13,0.006469987038,0.0,1.34525913e-06,-4.751932442e-05,-7.454823225e-05,-0.3315912173,1705.804957
1780.0,14,0.007292859931,0.0,1.249095076e-06,-5.496279039e-05,-7.262697705e-05,-0.3632735783,1706.308542
1780.0,15,0.008174901275,0.0,1.102823241e-06,-6.219107252e-05,-7.058173847e-05,-0.3948588531,1706.81992
1780.0,16,0.009120365561,0.0,9.001312286e-07,-6.883960672e-05,-6.840569836e-05,-0.4264812274,1707.338698
1780.0,17,0.0101338132,0.0,6.403308701e-07,-7.421340434e-05,-6.609183352e-05,-0.4572147856,1707.864254
1780.0,18,0.01122013251,0.0,3.083807703e-07,-7.789270468e-05,-6.363294286e-05,-0.4886416963,1708.395719
1780.0,19,0.01238456332,0.0,-8.426293537e-08,-7.897182265e-05,-6.102166858e-05,-0.5179317905,1708.931971
1780.0,20,0.0136327222,0.0,-5.485944501e-07,-7.578019716e-05,-5.825054132e-05,-0.5460333457,1709.471628
1780.0,21,0.01497062961,0.0,-1.100477972e-06,-6.762976833e-05,-5.531202004e-05,-0.5745032233,1710.013039
1780.0,22,0.01640473889,0.0,-1.725752319e-06,-5.289649727e-05,-5.219853765e-05,-0.6001254841,1710.554288
1780.0,23,0.01794196741,0.0,-2.437049568e-06,-2.935949286e-05,-4.890258023e-05,-0.6247306967,1711.093206
1780.0,24,0.01958972992,0.0,-3.22989313e-06,5.090440412e-06,-4.541676753e-05,-0.6470268102,1711.627391
1780.0,25,0.02135597434,0.0,-4.106852811e-06,5.326286162e-05,-4.173397095e-05,-0.6674018321,1712.15425
1780.0,26,0.02324922009,0.0,-5.063183371e-06,0.0001182572355,-3.7847459e-05,-0.6853738422,1712.671051
1780.0,27,0.02527859915,0.0,-6.094517376e-06,0.0002037403876,-3.375108945e-05,-0.7010294127,1713.174994
1780.0,28,0.02745390016,0.0,-7.191290031e-06,0.000313839476,-2.943955977e-05,-0.7142282018,1713.663291
1780.0,29,0.0297856156,0.0,-8.34092678e-06,0.000453188139,-2.490873293e-05,-0.7251458989,1714.133259
1780.0,30,0.0322849924,0.0,-9.525052565e-06,0.0006268876786,-2.015606465e-05,-0.7339095316,1714.582415
1780.0,31,0.03496408621,0.0,-1.071977255e-05,0.0008403663647,-1.518114813e-05,-0.7410085595,1715.008568
1780.0,32,0.03783581952,0.0,-1.189425634e-05,0.001099306804,-9.986417237e-06,-0.7469017103,1715.409892
1780.0,33,0.04091404404,0.0,-1.300777469e-05,0.001409205162,-4.578035405e-06,-0.7526061813,1715.784995
1780.0,34,0.04421360745,0.0,-1.400910175e-05,0.001775217508,1.033024489e-06,-0.7588104943,1716.132948
1780.0,35,0.04775042506,0.0,-1.48419044e-05,0.002201058137,6.82968412e-06,-0.7676628636,1716.453298
1780.0,36,0.05154155658,0.0,-1.542674192e-05,0.002688885106,1.278729012e-05,-0.7796049373,1716.746054
1780.0,37,0.05560528838,0.0,-1.569252549e-05,0.003236777345,1.887209161e-05,-0.798740508,1717.011661
1780.0,38,0.0599612217,0.0,-1.551943283e-05,0.003839307969,2.503979073e-05,-0.8238832345,1717.250963
1780.0,39,0.06463036722,0.0,-1.485697227e-05,0.004481723117,3.123477722e-05,-0.8625956371,1717.46518
1780.0,40,0.06963524638,0.0,-1.35435881e-05,0.005144011064,3.739011189e-05,-0.9085081605,1717.655938
1780.0,41,0.075,0.0,-1.156479097e-05,0.005788206746,4.343591395e-05,-0.9742427683,1717.825382
1780.0,42,0.08036475362,0.0,-8.945974028e-06,0.006339445555,4.892574275e-05,-1.03612639,1717.966462
1780.0,43,0.08536963278,0.0,-6.153968162e-06,0.0067268108,5.356379348e-05,-1.115575076,1718.077818
1780.0,44,0.0900387783,0.0,-3.243304407e-06,0.006964830609,5.749505523e-05,-1.172319126,1718.167667
1780.0,45,0.09439471162,0.0,-6.26777222e-07,0.007071434406,6.085172507e-05,-1.258039679,1718.241337
1780.0,46,0.09845844342,0.0,1.985006651e-06,0.007032028047,6.374464213e-05,-1.325105616,1718.30128
1780.0,47,0.1022495749,0.0,4.50555066e-06,0.006890458486,6.62660227e-05,-1.368243443,1718.34644
1780.0,48,0.1057863926,0.0,6.608636804e-06,0.006661684832,6.849068102e-05,-1.42564389,1718.37008
1780.0,49,0.109085956,0.0,8.557487131e-06,0.006357984685,7.047699696e-05,-1.461876122,1718.362098
1780.0,50,0.1121641805,0.0,1.018359316e-05,0.006001995709,7.227136861e-05,-1.500829036,1718.305675
1780.0,51,0.1150359138,0.0,1.153527712e-05,0.005606826803,7.390798421e-05,-1.528064313,1718.173277
1780.0,52,0.1177150076,0.0,1.257251793e-05,0.005189760172,7.541248883e-05,-1.555192847,1717.932554
1780.0,53,0.1202143844,0.0,1.33551673e-05,0.004761713568,7.680349855e-05,-1.575912351,1717.550956
1780.0,54,0.1225460998,0.0,1.388783661e-05,0.004333991657,7.809469045e-05,-1.596277868,1716.999867
1780.0,55,0.1247214008,0.0,1.420721289e-05,0.003914261963,7.929597219e-05,-1.61472242,1716.259838
1780.0,56,0.1267507799,0.0,1.432943507e-05,0.003509397425,8.041467526e-05,-1.634433564,1715.324198
1780.0,57,0.1286440257,0.0,1.42834394e-05,0.003123995487,8.145634795e-05,-1.655242509,1714.200087
1780.0,58,0.1304102701,0.0,1.408859933e-05,0.002761669632,8.242541487e-05,-1.678747237,1712.907002
1780.0,59,0.1320580326,0.0,1.37691294e-05,0.002424559695,8.332560634e-05,-1.704869647,1711.473572
1780.0,60,0.1335952611,0.0,1.334390292e-05,0.002113981557,8.416028014e-05,-1.734163602,1709.93359
1780.0,61,0.1350293704,0.0,1.283268597e-05,0.001830323684,8.493260644e-05,-1.766320291,1708.322223
